case_id,frame,time_s,facet_index,x_m,y_m,z_m,azimuth_deg,elevation_down_deg,slant_range_m,incidence_cos,scatter_proxy,radial_velocity_mps,doppler_hz,mask_3db,mask_6db,masked_scatter_3db,masked_scatter_6db
ss0_flat,0,0.0,0,0.0,2.0,0.0,0.0,26.56505117707799,2.23606797749979,0.4472135954999579,0.03999999999999999,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,1,1.0,2.0,0.0,26.56505117707799,24.094842552110702,2.449489742783178,0.4082482904638631,0.02777777777777779,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,2,-1.0,2.0,0.0,-26.56505117707799,24.094842552110702,2.449489742783178,0.4082482904638631,0.02777777777777779,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,3,2.0,2.0,0.0,45.0,19.47122063449069,3.0,0.3333333333333333,0.012345679012345678,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,4,-2.0,2.0,0.0,-45.0,19.47122063449069,3.0,0.3333333333333333,0.012345679012345678,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,5,0.0,3.0,0.0,0.0,18.43494882292201,3.1622776601683795,0.31622776601683794,0.009999999999999998,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,6,-1.0,3.0,0.0,-18.43494882292201,17.548400613792296,3.3166247903554,0.30151134457776363,0.008264462809917356,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,7,1.0,3.0,0.0,18.43494882292201,17.548400613792296,3.3166247903554,0.30151134457776363,0.008264462809917356,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,8,3.0,2.0,0.0,56.309932474020215,15.501359566936996,3.7416573867739413,0.2672612419124244,0.005102040816326531,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,9,-3.0,2.0,0.0,-56.309932474020215,15.501359566936996,3.7416573867739413,0.2672612419124244,0.005102040816326531,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,10,2.0,3.0,0.0,33.690067525979785,15.501359566936996,3.7416573867739413,0.2672612419124244,0.005102040816326531,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,11,-2.0,3.0,0.0,-33.690067525979785,15.501359566936996,3.7416573867739413,0.2672612419124244,0.005102040816326531,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,12,0.0,4.0,0.0,0.0,14.036243467926479,4.123105625617661,0.24253562503633297,0.0034602076124567475,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,13,1.0,4.0,0.0,14.036243467926479,13.63302222536641,4.242640687119285,0.23570226039551587,0.003086419753086421,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,14,-1.0,4.0,0.0,-14.036243467926479,13.63302222536641,4.242640687119285,0.23570226039551587,0.003086419753086421,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,15,3.0,3.0,0.0,45.0,13.262676008304846,4.358898943540674,0.22941573387056174,0.002770083102493074,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,16,-3.0,3.0,0.0,-45.0,13.262676008304846,4.358898943540674,0.22941573387056174,0.002770083102493074,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,17,-2.0,4.0,0.0,-26.56505117707799,12.604382648379183,4.58257569495584,0.2182178902359924,0.0022675736961451248,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,18,2.0,4.0,0.0,26.56505117707799,12.604382648379183,4.58257569495584,0.2182178902359924,0.0022675736961451248,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,19,4.0,2.0,0.0,63.43494882292201,12.604382648379183,4.58257569495584,0.2182178902359924,0.0022675736961451248,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,20,-4.0,2.0,0.0,-63.43494882292201,12.604382648379183,4.58257569495584,0.2182178902359924,0.0022675736961451248,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,21,-4.0,3.0,0.0,-53.13010235415598,11.309932474020213,5.0990195135927845,0.19611613513818404,0.0014792899408284025,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,22,4.0,3.0,0.0,53.13010235415598,11.309932474020213,5.0990195135927845,0.19611613513818404,0.0014792899408284025,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,23,3.0,4.0,0.0,36.86989764584402,11.309932474020213,5.0990195135927845,0.19611613513818404,0.0014792899408284025,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,24,0.0,5.0,0.0,0.0,11.309932474020213,5.0990195135927845,0.19611613513818404,0.0014792899408284025,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,25,-3.0,4.0,0.0,-36.86989764584402,11.309932474020213,5.0990195135927845,0.19611613513818404,0.0014792899408284025,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,26,1.0,5.0,0.0,11.309932474020213,11.095803283136393,5.196152422706632,0.19245008972987526,0.0013717421124828533,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,27,-1.0,5.0,0.0,-11.309932474020213,11.095803283136393,5.196152422706632,0.19245008972987526,0.0013717421124828533,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,28,-5.0,2.0,0.0,-68.19859051364818,10.51973489065862,5.477225575051661,0.18257418583505536,0.001111111111111111,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,29,-2.0,5.0,0.0,-21.80140948635181,10.51973489065862,5.477225575051661,0.18257418583505536,0.001111111111111111,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,30,2.0,5.0,0.0,21.80140948635181,10.51973489065862,5.477225575051661,0.18257418583505536,0.001111111111111111,0.0,0.0,0,0,0.0,0.0
ss0_flat,0,0.0,31,5.0,2.0,0.0,68.19859051364818,10.51973489065862,5.477225575051661,0.18257418583505536,0.001111111111111111,0.0,0.0,0,0,0.0,0.0
