case_id,scenario_id,target_snr_db,pfa,frames,target_range_m,target_velocity_mps,detection_probability,mean_false_alarms_per_frame,target_azimuth_rmse_deg,target_elevation_rmse_deg,sweep_variable,sweep_value,target_azimuth_truth_deg,target_elevation_truth_deg,target_range_truth_m,target_velocity_truth_mps
ss2_normal,velocity_mps_6_pfa0.001,10.0,0.001,41,19.32256076953125,6.083450852272727,1.0,0.0,0.0,0.0,velocity_mps,6.0,10.0,2.0,20.0,6.0
ss2_normal,azimuth_deg_-30_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,azimuth_deg,-30.0,-30.0,2.0,20.0,1.0
ss2_normal,azimuth_deg_-30_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,azimuth_deg,-30.0,-30.0,2.0,20.0,1.0
ss2_normal,azimuth_deg_-10_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,azimuth_deg,-10.0,-10.0,2.0,20.0,1.0
ss2_normal,azimuth_deg_-10_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,azimuth_deg,-10.0,-10.0,2.0,20.0,1.0
ss2_normal,azimuth_deg_10_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,azimuth_deg,10.0,10.0,2.0,20.0,1.0
ss2_normal,azimuth_deg_10_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,azimuth_deg,10.0,10.0,2.0,20.0,1.0
ss2_normal,azimuth_deg_30_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,azimuth_deg,30.0,30.0,2.0,20.0,1.0
ss2_normal,azimuth_deg_30_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,azimuth_deg,30.0,30.0,2.0,20.0,1.0
ss2_normal,elevation_deg_-4_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,elevation_deg,-4.0,10.0,-4.0,20.0,1.0
ss2_normal,elevation_deg_-4_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,elevation_deg,-4.0,10.0,-4.0,20.0,1.0
ss2_normal,elevation_deg_0_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,elevation_deg,0.0,10.0,0.0,20.0,1.0
ss2_normal,elevation_deg_0_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,elevation_deg,0.0,10.0,0.0,20.0,1.0
ss2_normal,elevation_deg_4_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,elevation_deg,4.0,10.0,4.0,20.0,1.0
ss2_normal,elevation_deg_4_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.0,0.0,0.0,elevation_deg,4.0,10.0,4.0,20.0,1.0
ss3_upper,snr_db_0_pfa0.01,0.0,0.01,41,19.32256076953125,0.9125176278409091,0.0,0.2682926829268293,,,snr_db,0.0,10.0,2.0,20.0,1.0
ss3_upper,snr_db_0_pfa0.001,0.0,0.001,41,19.32256076953125,0.9125176278409091,0.0,0.14634146341463414,,,snr_db,0.0,10.0,2.0,20.0,1.0
ss3_upper,snr_db_5_pfa0.01,5.0,0.01,41,19.32256076953125,0.9125176278409091,0.0,0.2682926829268293,,,snr_db,5.0,10.0,2.0,20.0,1.0
ss3_upper,snr_db_5_pfa0.001,5.0,0.001,41,19.32256076953125,0.9125176278409091,0.0,0.14634146341463414,,,snr_db,5.0,10.0,2.0,20.0,1.0
ss3_upper,snr_db_10_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,snr_db,10.0,10.0,2.0,20.0,1.0
ss3_upper,snr_db_10_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,snr_db,10.0,10.0,2.0,20.0,1.0
ss3_upper,snr_db_15_pfa0.01,15.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,snr_db,15.0,10.0,2.0,20.0,1.0
ss3_upper,snr_db_15_pfa0.001,15.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,snr_db,15.0,10.0,2.0,20.0,1.0
ss3_upper,snr_db_20_pfa0.01,20.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,snr_db,20.0,10.0,2.0,20.0,1.0
ss3_upper,snr_db_20_pfa0.001,20.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,snr_db,20.0,10.0,2.0,20.0,1.0
ss3_upper,range_m_8_pfa0.01,10.0,0.01,41,8.78298216796875,0.9125176278409091,1.0,0.21951219512195122,0.0,0.0,range_m,8.0,10.0,2.0,8.0,1.0
ss3_upper,range_m_8_pfa0.001,10.0,0.001,41,8.78298216796875,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,range_m,8.0,10.0,2.0,8.0,1.0
ss3_upper,range_m_20_pfa0.01,10.0,0.01,41,19.32256076953125,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,range_m,20.0,10.0,2.0,20.0,1.0
ss3_upper,range_m_20_pfa0.001,10.0,0.001,41,19.32256076953125,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,range_m,20.0,10.0,2.0,20.0,1.0
ss3_upper,range_m_40_pfa0.01,10.0,0.01,41,40.40171797265625,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,range_m,40.0,10.0,2.0,40.0,1.0
ss3_upper,range_m_40_pfa0.001,10.0,0.001,41,40.40171797265625,0.9125176278409091,1.0,0.14634146341463414,0.0,0.0,range_m,40.0,10.0,2.0,40.0,1.0
ss3_upper,range_m_60_pfa0.01,10.0,0.01,41,59.7242787421875,0.9125176278409091,1.0,0.2682926829268293,0.0,0.0,range_m,60.0,10.0,2.0,60.0,1.0
